pseudo_id,labels,n_frames,n_labels
X1bF,"[5, 16, 49, 919, 1612]",198,5
F2bF,[945],221,1
CtbF,"[10, 550]",141,2
hMbF,"[9, 10, 34, 970]",124,4
7dbF,"[11, 1042, 3453]",300,3
nsbF,"[69, 934, 1141, 1483]",245,4
fnbF,"[21, 23, 158]",237,3
bybF,[921],165,1
T5bF,"[31, 40, 47, 57]",156,4
3cbF,"[10, 97, 243]",258,3
QLbF,"[3, 4, 10]",300,3
wjbF,"[4, 9, 13, 37]",300,4
sfbF,[2719],300,1
1AbF,"[182, 392]",203,2
RWbF,"[0, 1, 1564]",193,3
8nbF,"[82, 118]",119,2
SCbF,"[6, 8, 383]",141,3
59bF,[52],163,1
P2bF,"[126, 220, 291]",300,3
yYbF,"[5, 204, 853]",300,3
JcbF,[3],119,1
O2bF,"[2, 544, 1449]",300,3
wTbF,"[3, 4, 6, 13, 28, 38]",212,6
S9bF,"[3, 4, 6, 13, 28, 38]",246,6
5WbF,[346],264,1
5ybF,"[0, 63, 167]",300,3
m0bF,"[124, 142, 287]",300,3
gKbF,"[0, 1, 157, 481]",185,4
MtbF,"[315, 505]",300,2
KZbF,"[2, 76, 3804]",300,3
x2bF,"[26, 250, 526]",221,3
KhbF,[1850],222,1
iNbF,[3],147,1
DkbF,[54],300,1
XDbF,[92],209,1
LwbF,[3],283,1
fybF,"[21, 23, 24]",300,3
fHbF,"[1, 489]",178,2
89bF,"[50, 65, 493, 503, 1060]",262,5
9lbF,"[2, 7]",124,2
mJbF,"[5, 136, 1132]",246,3
vcbF,"[0, 1, 81, 108]",194,4
77bF,"[8, 383]",224,2
JjbF,"[0, 52, 125]",144,3
y0bF,"[0, 1]",138,2
4zbF,"[60, 160]",226,2
lTbF,"[342, 1932]",121,2
4CbF,"[2, 45, 51, 77, 456, 1818]",300,6
vjbF,"[0, 1, 193, 963, 2518]",142,5
tebF,[25],122,1
i8bF,"[2, 17, 95, 135, 345, 490]",136,6
rFbF,"[8, 71, 420, 616]",178,4
RbbF,"[315, 1785]",155,2
iibF,"[210, 685]",159,2
p5bF,"[2, 44, 46, 109, 138, 145, 155, 162]",241,8
8ZbF,[161],128,1
XpbF,"[17, 19, 55, 210, 394]",188,5
4ibF,[832],300,1
xubF,"[66, 293, 332, 1313, 1346, 1499]",277,6
YfbF,[962],219,1
pcbF,"[0, 1, 36, 132, 1719]",216,5
STbF,[2420],300,1
rbbF,"[124, 1323]",300,2
4gbF,[52],300,1
PjbF,"[15, 96]",140,2
71bF,"[0, 21, 23, 24]",300,4
lwbF,"[0, 1, 203]",300,3
dtbF,"[0, 12]",300,2
wobF,[218],300,1
fxbF,"[49, 80, 265, 2063]",300,4
dGbF,"[362, 672]",300,2
UzbF,"[0, 1, 36, 94, 147, 423]",300,6
JEbF,"[5, 16, 292]",214,3
gMbF,"[432, 2400]",145,2
6YbF,"[55, 1974]",300,2
qMbF,"[5, 16, 315, 1082]",300,4
K6bF,"[2, 17, 30, 55, 408, 1557]",300,6
OubF,"[2, 44, 186, 2632]",157,4
v7bF,[3],300,1
2TbF,"[2, 7, 174, 213, 830, 1219]",249,6
cObF,"[379, 534, 735]",161,3
hqbF,"[580, 1771, 2790]",250,3
3kbF,[14],194,1
wcbF,[12],130,1
3dbF,"[3, 4, 10]",229,3
7RbF,"[0, 1, 1720, 2061]",256,4
z8bF,"[11, 32, 221, 368]",142,4
UubF,"[64, 149, 729]",236,3
mobF,"[798, 824, 971]",239,3
oIbF,"[0, 1]",132,2
MpbF,"[64, 149]",123,2
3QbF,"[0, 1459]",170,2
dTbF,"[6, 100]",182,2
GUbF,"[31, 40]",253,2
eIbF,"[2, 7, 573]",188,3
LRbF,"[2, 44, 46, 109, 114, 145, 162]",215,7
MYbF,"[0, 1, 36, 94, 367]",300,5
uzbF,"[2, 75, 1205, 2149]",132,4
g8bF,"[0, 1]",138,2
gVbF,"[9, 10, 37]",213,3
HzbF,[2979],300,1
FMbF,[25],196,1
2UbF,"[9, 10, 34]",201,3
sCbF,"[0, 1]",140,2
4NbF,"[3, 4]",226,2
snbF,[8],221,1
8obF,[14],235,1
t0bF,"[31, 40, 47, 57]",164,4
PWbF,"[11, 20, 22, 29, 32, 122, 528, 991]",214,8
NxbF,[223],147,1
xGbF,"[0, 1, 139]",300,3
qBbF,[61],212,1
F6bF,"[21, 23, 26, 782]",300,4
7jbF,"[0, 1, 5, 81, 108]",161,5
eXbF,"[0, 12]",138,2
ZubF,[3],300,1
9fbF,"[0, 82, 103, 118]",206,4
udbF,"[181, 216, 222, 249]",277,4
YTbF,"[5, 3846]",133,2
lHbF,"[0, 1, 42, 111]",300,4
FIbF,[1297],300,1
9IbF,"[8, 89, 175, 201]",138,4
zybF,"[26, 64, 95, 149, 729]",300,5
bVbF,[8],228,1
MJbF,"[3, 4, 9, 28]",284,4
fEbF,"[3, 4, 6, 13, 54, 300]",188,6
QTbF,"[52, 70]",137,2
QEbF,"[0, 1, 105, 183]",186,4
sRbF,[875],203,1
k8bF,"[4, 9, 10, 34]",268,4
FlbF,[10],194,1
lmbF,"[3, 4, 9, 10, 13]",149,5
PIbF,"[21, 23, 24, 106, 684]",293,5
vGbF,[205],178,1
sdbF,"[247, 255]",167,2
SfbF,"[2, 7, 957]",149,3
fJbF,[3229],201,1
yibF,"[0, 1, 489, 776, 2344]",300,5
ONbF,"[17, 19, 448]",163,3
u2bF,"[2, 7, 30, 55, 104, 975]",300,6
mmbF,"[15, 18, 87, 365]",222,4
DTbF,[66],300,1
z0bF,[89],285,1
yIbF,[569],210,1
PpbF,"[0, 12]",198,2
nKbF,"[11, 20, 22, 29, 32, 120, 173, 426, 506, 1775]",300,10
XXbF,"[0, 43]",300,2
tabF,"[4, 9, 10, 37, 421]",149,5
h4bF,"[8, 3387]",300,2
SgbF,"[8, 606]",175,2
oAbF,"[93, 102]",137,2
DNbF,"[2, 186, 666]",294,3
NabF,"[0, 1, 105]",158,3
G1bF,"[2, 7, 17, 48, 283, 3117]",300,6
WVbF,[3],218,1
xUbF,[25],250,1
JJbF,"[21, 23, 24, 73]",300,4
pmbF,[0],169,1
hobF,[0],236,1
FjbF,"[2, 75, 172]",124,3
JVbF,"[9, 14]",246,2
KcbF,[6],262,1
eFbF,[14],238,1
GqbF,"[2, 44, 64, 113, 119, 186, 425]",197,7
JhbF,[11],300,1
8ubF,"[0, 1, 3750]",300,3
13bF,[0],167,1
C7bF,"[2, 30]",140,2
BdbF,"[0, 93, 102]",176,3
hrbF,"[0, 1, 63, 450]",300,4
asbF,"[0, 1]",142,2
cVbF,"[3, 61]",136,2
BwbF,[62],300,1
PZbF,[260],300,1
M7bF,[226],230,1
xhbF,"[181, 216, 222, 249]",300,4
d9bF,"[2, 7, 48, 177]",284,4
LQbF,"[17, 19]",300,2
nUbF,"[4, 10, 13]",213,3
8qbF,[25],142,1
gfbF,"[0, 1, 25, 35, 85]",183,5
5TbF,"[0, 1, 19, 258, 926, 1849, 3235]",300,7
dJbF,[3],300,1
1hbF,"[15, 18, 67, 140, 170, 1247]",198,6
qYbF,[1300],300,1
fSbF,"[0, 1, 42, 3762]",300,4
3PbF,[27],151,1
4GbF,"[3, 4, 9, 14]",300,4
0NbF,"[2, 45, 51, 56, 212, 1745]",292,6
FtbF,"[5, 395]",124,2
txbF,"[0, 1, 42, 290]",276,4
sFbF,"[0, 12]",300,2
xSbF,"[2, 76, 446, 473, 547]",197,5
JpbF,[3],300,1
hlbF,[205],211,1
JrbF,[12],195,1
4MbF,"[15, 990]",148,2
g3bF,"[39, 156, 202, 207, 233, 529]",300,6
pFbF,"[2, 45, 51, 56, 77]",300,5
3mbF,"[1, 5]",300,2
tMbF,[5],279,1
YvbF,"[0, 12]",300,2
oRbF,[12],300,1
1UbF,"[2, 17, 19, 48, 129]",300,5
o7bF,"[2, 17, 30, 196, 2073]",212,5
AUbF,"[26, 130, 189, 610]",261,4
WbbF,"[31, 40, 57, 117]",161,4
7sbF,"[11, 579]",166,2
FVbF,[25],152,1
gdbF,"[2, 45, 51, 77]",146,4
I6bF,"[21, 23, 24, 758]",165,4
bWbF,"[2, 45, 51, 669]",229,4
xpbF,"[0, 1, 42, 111]",295,4
UsbF,[111],251,1
r1bF,"[0, 1, 36, 153, 367]",216,5
PXbF,"[17, 19, 448]",212,3
bIbF,"[0, 1, 1564]",300,3
f8bF,"[0, 1, 1686]",269,3
swbF,[2],300,1
2ibF,"[2, 45, 51, 56, 212]",204,5
OgbF,"[3, 4]",300,2
9qbF,"[390, 422, 485, 1267]",300,4
NXbF,[5],170,1
q1bF,"[2, 313]",238,2
X2bF,[8],300,1
rSbF,[14],178,1
SzbF,[3],300,1
40bF,"[15, 178]",121,2
3FbF,"[13, 386]",205,2
1zbF,[5],300,1
OcbF,"[269, 320]",150,2
FxbF,"[26, 194, 441]",300,3
ozbF,"[2, 7, 95, 116, 135, 1038, 3325]",300,7
SHbF,[519],300,1
NdbF,"[0, 1, 42, 290]",300,4
JTbF,[8],143,1
BMbF,"[15, 18, 43, 59, 60, 101]",217,6
EjbF,[333],225,1
vPbF,"[0, 226, 530]",239,3
CZbF,"[39, 50, 65]",300,3
yebF,"[11, 20, 22, 29, 32, 112, 220, 221, 276, 624]",300,10
k7bF,"[5, 14]",216,2
3XbF,[41],300,1
mhbF,[12],231,1
tHbF,"[0, 1, 69, 649]",177,4
AFbF,"[709, 939, 1755]",240,3
g1bF,"[4, 9, 10, 34]",160,4
31bF,"[3, 6, 8]",300,3
PhbF,[261],179,1
5kbF,"[3, 6, 8]",240,3
ZPbF,"[2, 44, 46, 107, 114, 145, 785]",141,7
WMbF,"[134, 2850]",214,2
UHbF,[1145],300,1
AWbF,"[0, 1, 69]",285,3
RrbF,"[4, 9, 10, 13, 28, 33]",230,6
TObF,"[11, 20, 22, 29, 32, 112, 120, 444, 506, 1156]",300,10
PmbF,[8],282,1
Z4bF,"[5, 16, 3714]",137,3
grbF,"[2, 26]",189,2
W5bF,"[3, 6]",182,2
MlbF,"[2, 45, 51, 56, 77, 137, 456, 540, 1707]",169,9
ZBbF,"[26, 326, 597, 1030, 3851]",300,5
d8bF,[12],174,1
DxbF,"[61, 227, 474]",252,3
wSbF,"[8, 89, 175]",129,3
lcbF,[3],195,1
JsbF,"[3, 4, 6, 13]",274,4
CAbF,"[3, 4, 13, 54]",301,4
zMbF,"[6, 8, 834]",270,3
rabF,"[11, 20, 22, 29, 32, 120, 334, 1165, 2007]",259,9
tdbF,"[0, 1, 3299]",207,3
ycbF,[419],148,1
cIbF,"[9, 10, 34, 37]",187,4
xHbF,"[0, 12]",144,2
ItbF,[92],125,1
DEbF,"[2, 17, 30, 53, 58, 143, 232, 340]",300,8
TFbF,"[100, 161, 567, 704, 1103, 1221]",284,6
MPbF,[1195],164,1
NkbF,"[11, 29, 32]",146,3
OdbF,[1749],250,1
fcbF,"[2, 7]",209,2
oCbF,"[2, 408]",152,2
q4bF,[342],184,1
aHbF,[133],254,1
zRbF,"[311, 360]",300,2
7JbF,"[0, 1, 81, 108, 2280]",169,5
M6bF,"[66, 521, 1305]",127,3
EgbF,[2998],300,1
x1bF,"[242, 254, 282, 459]",300,4
SabF,[3],300,1
4xbF,"[390, 1537]",193,2
uKbF,"[360, 1933]",261,2
mgbF,[3],300,1
F9bF,"[31, 40, 57, 117]",300,4
N7bF,[3],220,1
l0bF,[0],189,1
16bF,"[5, 16, 244, 292]",208,4
GbbF,"[18, 59, 238]",185,3
hUbF,[31],195,1
11bF,"[26, 64, 186]",256,3
jAbF,[8],202,1
UnbF,"[2, 7, 171]",300,3
oobF,"[11, 29, 1115]",127,3
drbF,"[3, 4]",300,2
iobF,"[2247, 2278]",184,2
BPbF,"[0, 1, 362]",271,3
HnbF,[5],256,1
0dbF,"[2, 620, 783]",129,3
9HbF,"[0, 1]",300,2
00bF,"[13, 28, 33, 38, 78]",202,5
RabF,"[106, 1562]",300,2
r6bF,"[1, 35, 85]",300,3
wVbF,"[74, 131, 209, 1125]",300,4
K3bF,"[4, 9, 10, 34]",191,4
5ObF,"[21, 23, 24, 471]",128,4
M1bF,"[0, 1, 150, 204, 1631, 2304]",198,6
72bF,"[0, 1, 183, 192, 3195]",300,5
pKbF,"[6, 8]",164,2
FebF,[43],300,1
17bF,[2801],195,1
CObF,"[154, 1102, 1183]",300,3
J1bF,[14],203,1
6tbF,"[2, 75, 95, 165, 172, 1930]",172,6
f2bF,[14],215,1
5zbF,"[11, 20, 22, 29, 32, 112, 120, 122]",259,8
qLbF,"[2, 17, 30, 55, 1178]",166,5
xDbF,"[2, 7]",271,2
AobF,"[2, 7, 213, 563, 1916]",224,5
kybF,"[0, 1]",142,2
AzbF,"[4, 9, 10, 34]",300,4
wibF,"[2, 7, 48, 197, 316, 513]",158,6
fpbF,[25],122,1
HrbF,"[0, 93, 102]",171,3
f7bF,"[0, 1, 5]",300,3
O3bF,"[5, 16, 144, 190, 384]",234,5
vTbF,[205],300,1
8fbF,[13],230,1
NpbF,[25],136,1
7FbF,"[2, 7, 17, 197]",123,4
HdbF,"[0, 79, 450]",300,3
4cbF,[1455],300,1
YLbF,"[2, 44, 46, 107, 114, 145, 1603]",223,7
HqbF,"[28, 33, 38, 78, 86]",234,5
ULbF,"[43, 248, 428]",300,3
EKbF,"[28, 33, 86]",289,3
I0bF,[1076],146,1
D5bF,"[4, 9, 10, 37]",217,4
TtbF,"[2, 45, 51, 56, 77, 137, 540]",300,7
kqbF,[220],200,1
knbF,[195],198,1
KUbF,"[0, 91]",226,2
QabF,"[62, 461, 498]",206,3
p4bF,"[3, 4, 9, 10, 13, 28, 33, 38]",300,8
D3bF,"[0, 5, 319]",300,3
TpbF,[41],300,1
2JbF,"[88, 364]",294,2
m9bF,"[3, 4, 6]",300,3
Z1bF,"[0, 1, 36, 147]",229,4
C3bF,"[4, 9, 14]",199,3
MjbF,"[60, 239]",300,2
jIbF,"[0, 26, 130, 636, 1217]",171,5
KWbF,"[0, 12]",203,2
qFbF,"[148, 253]",219,2
OrbF,"[0, 1, 5]",300,3
aObF,"[3, 4]",300,2
i4bF,"[0, 1, 35, 85]",285,4
g9bF,"[64, 113, 119, 465, 475]",285,5
vgbF,"[74, 131, 209, 584]",124,4
xFbF,"[6, 8]",253,2
oMbF,"[5, 16]",300,2
wCbF,"[2, 30, 280]",206,3
AxbF,"[5, 16, 1444]",300,3
YXbF,"[4, 31, 40, 47, 57, 188]",129,6
tqbF,"[0, 1, 159, 626]",300,4
LNbF,"[0, 1, 223]",279,3
unbF,[66],300,1
QMbF,[225],244,1
jDbF,"[2, 17, 19, 30, 55, 143, 284]",180,7
fjbF,"[0, 12, 237]",254,3
uibF,"[3, 4, 6]",300,3
WLbF,"[4, 9, 10, 34, 37]",131,5
nybF,"[3, 6, 8]",158,3
LZbF,"[3, 4]",149,2
KBbF,"[71, 152]",286,2
dfbF,"[4, 99]",280,2
rObF,[3],191,1
UXbF,"[15, 60, 239, 363, 1098, 1452]",300,6
rqbF,"[5, 16, 516, 3638]",300,4
XHbF,[14],251,1
xObF,"[3, 6]",133,2
lYbF,"[5, 244, 292]",246,3
QpbF,[61],300,1
qKbF,[92],181,1
XxbF,"[3, 6]",190,2
cQbF,"[43, 60, 101, 1032]",300,4
NjbF,"[0, 1, 42, 290, 431]",226,5
3RbF,"[1, 35, 924, 2179, 2340]",300,5
9sbF,"[2, 465]",260,2
PzbF,"[68, 72, 98, 151, 240]",218,5
bgbF,"[2, 76]",300,2
aLbF,"[2, 17, 30, 55, 340, 408]",291,6
jpbF,[14],270,1
NmbF,[106],300,1
oSbF,"[26, 136, 370, 526]",165,4
4hbF,"[0, 12]",160,2
zNbF,"[11, 20, 22, 29, 32, 397, 1943, 2604]",159,8
y3bF,"[26, 903, 2273]",300,3
nTbF,"[99, 518]",300,2
umbF,[843],162,1
ldbF,"[5, 731]",189,2
cYbF,[238],253,1
wubF,"[3, 41]",300,2
mCbF,[172],138,1
zSbF,"[0, 1, 35, 309, 1018, 1819]",298,6
j5bF,[280],286,1
rsbF,"[0, 79]",300,2
0MbF,"[327, 967]",252,2
NMbF,[277],211,1
iabF,"[31, 40, 47, 57, 117]",292,5
hObF,"[64, 113, 119, 186, 425]",131,5
L1bF,[557],148,1
XTbF,"[126, 220]",300,2
xXbF,"[2, 7, 116, 706, 1266]",129,5
44bF,"[2, 7, 104, 116, 437]",298,5
s8bF,"[0, 1, 27]",178,3
aSbF,"[0, 1, 5]",300,3
nQbF,[13],221,1
WQbF,"[73, 736, 914, 1629, 2414]",257,5
KtbF,"[3, 4, 6, 38]",252,4
h0bF,"[4, 13, 33]",177,3
PSbF,"[0, 215, 412, 622]",300,4
G8bF,[592],231,1
iSbF,[5],273,1
k4bF,"[0, 1, 5, 25, 150, 234, 517, 678, 3236]",152,9
cobF,[14],227,1
tlbF,[466],156,1
UabF,"[3, 13, 41]",180,3
VqbF,"[0, 62, 479]",143,3
m2bF,"[0, 241]",137,2
2RbF,"[0, 5]",186,2
aZbF,[14],228,1
subF,"[2, 7, 224]",300,3
FUbF,"[5, 868]",170,2
jMbF,[182],121,1
hXbF,"[1121, 1966]",205,2
VXbF,[99],231,1
u5bF,"[0, 856]",300,2
1JbF,[248],158,1
msbF,"[39, 121, 207, 233]",300,4
ecbF,[4],274,1
70bF,"[0, 226, 1380]",300,3
ibbF,"[0, 42, 1097]",223,3
4jbF,[6],234,1
GebF,"[4, 13, 41]",144,3
EnbF,"[205, 598]",144,2
LIbF,[261],130,1
ErbF,"[0, 12]",300,2
blbF,[979],180,1
0JbF,[3],181,1
pjbF,"[4, 671]",136,2
QvbF,"[3, 6]",300,2
5HbF,[14],268,1
CmbF,"[0, 1, 387, 893]",211,4
aKbF,"[2, 544, 1089, 1449]",265,4
5NbF,"[26, 334, 527, 728]",191,4
IhbF,"[0, 12]",136,2
XVbF,"[0, 1, 63, 167, 335]",300,5
lBbF,[365],155,1
wXbF,"[15, 370, 789, 978]",191,4
5ZbF,"[0, 817, 961]",192,3
