,VideoId,True labels,Pred labels,Confidence
12,E68l,[   2    7 1000],"[2, 0, 13, 8, 21, 15, 23, 131, 79, 5]","[0.9967756, 0.99095964, 0.985971, 0.98100317, 0.9781221, 0.97602606, 0.96987945, 0.96977794, 0.9649532, 0.9616779]"
13,JY8l,[ 0 12],"[0, 12, 9, 13, 2, 10, 8, 28, 39, 4]","[0.9990895, 0.9950098, 0.98986906, 0.98819745, 0.9881736, 0.98794377, 0.9872544, 0.9851757, 0.9796419, 0.97918344]"
14,ni8l,[181 216],"[39, 2, 50, 6, 4, 3, 18, 15, 12, 73]","[0.9978249, 0.9960443, 0.99471796, 0.9940102, 0.9921113, 0.99167067, 0.9915767, 0.991287, 0.99106205, 0.9904511]"
15,xZ8l,[993],"[11, 22, 0, 20, 2, 32, 15, 1, 10, 3]","[0.9985798, 0.996451, 0.9955388, 0.99467003, 0.9936111, 0.98817605, 0.9814128, 0.97668886, 0.9731227, 0.9653449]"
16,Wi8l,[53 58],"[0, 12, 1, 3, 2, 30, 37, 19, 58, 17]","[0.9986787, 0.99734575, 0.9901469, 0.9844605, 0.9815032, 0.97988844, 0.97853535, 0.97838545, 0.9753058, 0.9739289]"
17,LZ8l,[ 62 411],"[2, 45, 0, 7, 1, 3, 51, 43, 17, 40]","[0.9998301, 0.9996499, 0.9995861, 0.9993731, 0.999302, 0.99899256, 0.99775314, 0.9965017, 0.99534756, 0.9952779]"
18,U38l,[ 26 527 728],"[0, 11, 2, 24, 12, 4, 5, 1, 29, 8]","[0.9997438, 0.99942863, 0.9993413, 0.99815035, 0.99811316, 0.9980634, 0.9959724, 0.99565923, 0.99529576, 0.9950438]"
19,f88l,[  1  46 264],"[0, 1, 2, 45, 5, 30, 23, 8, 54, 11]","[0.99973214, 0.9994057, 0.9989578, 0.9982814, 0.99799395, 0.99076086, 0.9904834, 0.9894097, 0.9876809, 0.98753977]"
20,pb8l,[ 15  18 170 314],"[0, 23, 2, 1, 10, 28, 5, 12, 37, 9]","[0.9974747, 0.99568474, 0.9918348, 0.9903321, 0.98733807, 0.986415, 0.9839055, 0.9836637, 0.98146045, 0.9799942]"
21,R48l,[12],"[73, 0, 10, 24, 1, 11, 23, 8, 9, 30]","[0.98070884, 0.97307515, 0.97295874, 0.9710072, 0.9653654, 0.95898795, 0.95775187, 0.95356613, 0.94618917, 0.94475985]"
22,RX8l,[3],"[3, 4, 9, 10, 58, 68, 37, 0, 28, 1]","[0.9993302, 0.9977293, 0.99554396, 0.99547255, 0.99267936, 0.9820677, 0.9799738, 0.9792017, 0.9746152, 0.9714741]"
23,Bk8l,[2 7],"[7, 2, 5, 0, 4, 3, 37, 8, 6, 33]","[0.99984026, 0.99979955, 0.9994411, 0.9986001, 0.9982054, 0.9974856, 0.9961768, 0.9957864, 0.9942877, 0.9931768]"
24,Z78l,[ 11  20 123 302],"[6, 0, 16, 1, 4, 11, 2, 22, 20, 8]","[0.9954529, 0.9941329, 0.99371713, 0.9925486, 0.99155957, 0.99124444, 0.9867301, 0.9843637, 0.98400676, 0.98126996]"
25,Uc8l,[14 25],"[4, 34, 10, 14, 3, 9, 71, 2, 6, 28]","[0.99344456, 0.97969174, 0.97874844, 0.9786583, 0.9784316, 0.97465956, 0.95215994, 0.9489777, 0.9413384, 0.9141735]"
26,Lo8l,[8],"[13, 8, 0, 4, 10, 1, 3, 9, 27, 7]","[0.9990096, 0.99898523, 0.9972992, 0.9969499, 0.9951689, 0.99400175, 0.99099946, 0.9903145, 0.98138326, 0.98112154]"
27,IF8l,[ 3  4 13],"[3, 4, 6, 10, 13, 9, 8, 31, 28, 33]","[0.9999807, 0.99957806, 0.99901676, 0.99659085, 0.99037653, 0.9902359, 0.9877589, 0.98590344, 0.98256934, 0.97739196]"
28,PW8l,[  0   1  27  88 313],"[0, 1, 27, 5, 8, 6, 71, 23, 13, 3]","[0.9999984, 0.99999195, 0.99963343, 0.9990854, 0.9990194, 0.9983901, 0.99801004, 0.9970348, 0.99616706, 0.9959754]"
29,6I8l,[0],"[0, 5, 13, 1, 12, 4, 2, 8, 91, 54]","[0.99984455, 0.9990674, 0.99889976, 0.9984932, 0.9981377, 0.9977241, 0.9976516, 0.9971751, 0.99661505, 0.99471056]"
30,Qu8l,[11 29 32],"[0, 1, 8, 6, 15, 12, 19, 3, 17, 66]","[0.9928132, 0.9766534, 0.97349715, 0.96955377, 0.96362567, 0.96327496, 0.95411515, 0.95141196, 0.94788945, 0.94554025]"
31,Br8l,[ 0 27],"[4, 34, 10, 9, 0, 11, 3, 28, 15, 5]","[0.9910077, 0.9860803, 0.97862643, 0.9708341, 0.9608097, 0.952999, 0.94449735, 0.9358798, 0.93470883, 0.93037933]"
32,Q98l,[ 4  9 10 37],"[9, 10, 37, 4, 34, 0, 2, 14, 6, 1]","[0.9999988, 0.99997973, 0.9999599, 0.99991846, 0.99935997, 0.9965305, 0.99549913, 0.9944258, 0.99388605, 0.9927536]"
33,Pp8l,[182],"[13, 4, 2, 5, 9, 54, 10, 0, 1, 29]","[0.99566555, 0.99047625, 0.98181784, 0.9797869, 0.97429, 0.963517, 0.96215475, 0.953045, 0.9287218, 0.92585]"
34,Mx8l,[100],"[0, 2, 11, 57, 28, 237, 6, 26, 10, 33]","[0.9975462, 0.99754286, 0.9967499, 0.99309254, 0.99264157, 0.9921278, 0.9920442, 0.9918589, 0.9904797, 0.9900118]"
35,dM8l,[12],"[0, 12, 1, 10, 2, 158, 24, 11, 15, 23]","[0.99740684, 0.9967077, 0.9932083, 0.9917604, 0.98951995, 0.9853903, 0.9783962, 0.9782357, 0.97223485, 0.9706718]"
36,mq8l,[  0  11 749],"[0, 2, 8, 12, 1, 72, 7, 14, 61, 53]","[0.98101586, 0.9491232, 0.9374597, 0.92977417, 0.91922164, 0.9005066, 0.90028787, 0.88700044, 0.8736248, 0.8723701]"
37,XQ8l,[3],"[3, 6, 14, 0, 4, 10, 1, 7, 12, 72]","[0.999904, 0.99751115, 0.9973788, 0.9910017, 0.9905257, 0.98927224, 0.9836921, 0.978022, 0.9747211, 0.97093606]"
38,yv8l,[ 71 191],"[5, 0, 2, 14, 8, 27, 50, 23, 37, 7]","[0.99825275, 0.99558234, 0.9930353, 0.99071074, 0.98887026, 0.9859207, 0.9711065, 0.97043157, 0.9624866, 0.9619001]"
39,VF8l,[14],"[14, 0, 7, 6, 12, 8, 1, 36, 3, 32]","[0.9992208, 0.9620976, 0.93609977, 0.93264115, 0.92475253, 0.9159964, 0.91456354, 0.90667486, 0.9065044, 0.9042634]"
40,QN8l,[ 0 79],"[0, 2, 12, 4, 45, 1, 22, 10, 394, 5]","[0.9999597, 0.99781287, 0.9968498, 0.99681586, 0.995577, 0.9950552, 0.9926511, 0.99220157, 0.9895885, 0.9884305]"
41,eB8l,[ 4  9 10 37],"[9, 10, 37, 4, 3, 2, 6, 34, 13, 1]","[0.9999995, 0.9999932, 0.9999707, 0.99996185, 0.9982524, 0.99797964, 0.99787664, 0.99771255, 0.9949676, 0.99468803]"
42,hb8l,[391],"[5, 10, 9, 4, 1, 15, 17, 0, 33, 36]","[0.9991902, 0.9978549, 0.9978115, 0.9974938, 0.9946877, 0.99164486, 0.98823893, 0.9878162, 0.98316914, 0.9786855]"
43,u88l,[ 0 12],"[12, 0, 2, 1, 3, 189, 6, 7, 17, 18]","[0.9986405, 0.997779, 0.9888042, 0.9856325, 0.96095115, 0.9425138, 0.94240564, 0.93517977, 0.93476844, 0.9299338]"
44,dD8l,[801],"[0, 146, 10, 9, 3, 23, 24, 8, 30, 11]","[0.99431926, 0.99333173, 0.9930466, 0.9919375, 0.99152815, 0.9898564, 0.98910964, 0.98875904, 0.9866811, 0.98544586]"
45,S58l,[2 7],"[2, 0, 15, 23, 1, 7, 48, 9, 49, 11]","[0.97439814, 0.9735843, 0.9313119, 0.9193895, 0.91694325, 0.90731704, 0.9060873, 0.89535785, 0.889804, 0.8826754]"
46,AU8l,[ 3  4 14],"[3, 6, 4, 23, 0, 10, 8, 14, 38, 7]","[0.99966186, 0.9962926, 0.98904365, 0.98479563, 0.98115516, 0.9778135, 0.9773838, 0.9727026, 0.95983386, 0.95939374]"
47,kg8l,[  8 474],"[8, 6, 0, 1, 2, 67, 32, 3, 12, 27]","[0.9997902, 0.99918354, 0.998036, 0.9955691, 0.9919661, 0.979368, 0.97781134, 0.97653127, 0.97516406, 0.97462034]"
48,8a8l,[  0   1   5  81 108 615],"[0, 1, 2, 5, 18, 30, 35, 3, 218, 40]","[0.99848485, 0.9976206, 0.9758719, 0.9698669, 0.9681493, 0.9616673, 0.9367174, 0.92921954, 0.92384833, 0.92152023]"
49,Tg8l,[40 57],"[1, 4, 14, 2, 0, 64, 7, 9, 156, 33]","[0.97655416, 0.96486664, 0.96289825, 0.957356, 0.95487833, 0.94113773, 0.934596, 0.92419803, 0.90566945, 0.9038654]"
50,oK8l,[ 4  9 10],"[4, 9, 14, 2, 10, 0, 1, 11, 3, 6]","[0.9992924, 0.99893415, 0.9986703, 0.9983312, 0.9978952, 0.99686575, 0.9968358, 0.9940444, 0.9910027, 0.98892546]"
51,ha8l,[100],"[8, 4, 0, 6, 2, 5, 3, 11, 10, 13]","[0.99971, 0.99943066, 0.9988017, 0.9987953, 0.9984721, 0.99830806, 0.9981009, 0.9971404, 0.996188, 0.99343896]"
52,yb8l,[8],"[8, 3, 6, 0, 9, 19, 74, 18, 246, 12]","[0.9978748, 0.9863148, 0.98271275, 0.9820846, 0.9685359, 0.9666076, 0.966169, 0.9629986, 0.9608754, 0.9582703]"
53,y68l,[12],"[12, 0, 1, 8, 3, 2, 26, 6, 16, 4]","[0.99957025, 0.99874854, 0.99780375, 0.9964224, 0.9957491, 0.9904377, 0.9889382, 0.9875717, 0.9858402, 0.9836815]"
54,9C8l,[99],"[41, 2, 5, 0, 14, 7, 64, 26, 1, 13]","[0.99880564, 0.9966215, 0.99591446, 0.9933375, 0.99169576, 0.9840816, 0.98406726, 0.9801694, 0.9774848, 0.97694385]"
55,fR8l,[  0  52  70 125],"[0, 4, 5, 14, 118, 1, 33, 3, 103, 12]","[0.9999548, 0.9991781, 0.99799174, 0.99716043, 0.9961486, 0.99600863, 0.99536943, 0.9943211, 0.9938239, 0.9935698]"
56,yM8l,[453 857],"[5, 4, 14, 1, 16, 3, 0, 7, 11, 188]","[0.9743792, 0.94742584, 0.93895245, 0.9265208, 0.92548096, 0.92257357, 0.92019427, 0.8915533, 0.8640877, 0.8619827]"
57,aZ8l,[ 3  4  9 10 34],"[3, 4, 6, 10, 31, 9, 1, 33, 28, 57]","[0.9999801, 0.9999355, 0.99951756, 0.99767935, 0.9941101, 0.99086183, 0.99047256, 0.9886029, 0.9881073, 0.9836049]"
58,Z88l,[ 5 16],"[5, 1, 16, 0, 9, 26, 4, 25, 8, 6]","[0.99214053, 0.98861873, 0.9883435, 0.98237157, 0.9776249, 0.9544581, 0.94566184, 0.94367754, 0.9317668, 0.9017612]"
59,Ww8l,[6],"[8, 6, 14, 3, 4, 31, 16, 7, 5, 40]","[0.9908912, 0.98756886, 0.98294866, 0.98094094, 0.9407942, 0.89585406, 0.89354086, 0.8927674, 0.8884622, 0.8861885]"
60,Cp8l,[386],"[54, 4, 3, 0, 10, 1, 13, 30, 7, 8]","[0.9989426, 0.99868, 0.9981997, 0.9931094, 0.99061835, 0.9884366, 0.9883965, 0.9863327, 0.9835867, 0.9820884]"
61,In8l,[ 24 146 158 279],"[21, 0, 24, 23, 73, 26, 8, 3, 13, 158]","[0.99727994, 0.99712783, 0.9958736, 0.99436706, 0.9934069, 0.9908281, 0.98202443, 0.97491735, 0.97336173, 0.97032297]"
62,2d8l,[25],"[0, 25, 1, 5, 16, 2, 7, 12, 91, 6]","[0.98214054, 0.9670548, 0.96512866, 0.95819163, 0.9347024, 0.9304301, 0.91223955, 0.8701627, 0.8698351, 0.8691597]"
63,xb8l,[ 12 705],"[0, 12, 1, 23, 8, 73, 24, 21, 4, 2]","[0.99106073, 0.9841958, 0.9829585, 0.97985584, 0.9763566, 0.9663011, 0.96083117, 0.9540149, 0.94797844, 0.94738525]"
64,ba8l,[0 8],"[8, 6, 3, 33, 4, 0, 7, 5, 52, 12]","[0.9988717, 0.9976475, 0.98543334, 0.9540177, 0.94979244, 0.94580865, 0.93522555, 0.93458664, 0.92955804, 0.92541724]"
65,I88l,[ 3 41],"[41, 3, 13, 4, 6, 8, 2, 54, 31, 1]","[0.9999035, 0.9995005, 0.9987885, 0.9984927, 0.99727166, 0.9936869, 0.9918566, 0.9870498, 0.9859755, 0.9846405]"
66,Od8l,[646 982],"[0, 1, 26, 24, 23, 21, 13, 5, 2, 73]","[0.99666715, 0.99586093, 0.99371296, 0.98981196, 0.98937273, 0.98587656, 0.9788623, 0.9756661, 0.97452474, 0.97014993]"
67,Mu8l,[ 39  50 493 503],"[3, 39, 0, 2, 4, 1, 23, 50, 12, 21]","[0.9996195, 0.9984027, 0.9983488, 0.99801, 0.9957243, 0.99528193, 0.9940181, 0.9916821, 0.9904487, 0.9853598]"
68,iQ8l,[ 2  7 30 55],"[2, 30, 0, 10, 17, 1, 3, 55, 12, 7]","[0.9999612, 0.99987257, 0.9987092, 0.99663377, 0.9962679, 0.995142, 0.9928787, 0.9914621, 0.9911387, 0.9867542]"
69,HC8l,[6 8],"[8, 6, 3, 4, 13, 10, 9, 0, 39, 350]","[0.9996161, 0.9981929, 0.9955368, 0.99430513, 0.9784609, 0.9770086, 0.9735806, 0.9527118, 0.93566036, 0.9326516]"
70,Qh8l,[ 5 16],"[26, 3, 5, 6, 8, 1, 23, 10, 4, 16]","[0.98751557, 0.9856839, 0.9842478, 0.98239183, 0.9797274, 0.97391474, 0.9722351, 0.9721552, 0.9715353, 0.970688]"
71,Ys8l,[61],"[0, 61, 1, 6, 4, 14, 5, 2, 8, 13]","[0.9998297, 0.9997692, 0.9992172, 0.9978961, 0.9977949, 0.9977193, 0.9972458, 0.9964677, 0.9959216, 0.99564236]"
72,gg8l,[  3   4  31  47  54  97 243],"[10, 40, 3, 4, 97, 47, 0, 1, 243, 31]","[0.99933285, 0.99931, 0.9991622, 0.9989356, 0.9986867, 0.9986806, 0.99842036, 0.99825966, 0.99800825, 0.9976171]"
73,198l,[  0   1  35  69 478],"[1, 0, 36, 6, 12, 23, 42, 27, 5, 18]","[0.99973243, 0.99969435, 0.99114835, 0.9626139, 0.9527362, 0.94959706, 0.9462339, 0.94618803, 0.9442681, 0.94398]"
74,fZ8l,[ 66 382 648],"[2, 28, 45, 24, 23, 0, 29, 15, 13, 34]","[0.99987507, 0.9962022, 0.99514294, 0.99447256, 0.9944602, 0.99431336, 0.9929675, 0.9927883, 0.9911909, 0.9889345]"
75,JN8l,[5],"[0, 1, 4, 2, 6, 36, 11, 49, 37, 12]","[0.99760956, 0.98858565, 0.9732853, 0.96401674, 0.9638688, 0.9609698, 0.9516252, 0.94848585, 0.94610196, 0.9385601]"
76,8b8l,[ 60 385],"[8, 0, 3, 6, 4, 10, 13, 5, 9, 2]","[0.94544375, 0.94210786, 0.934885, 0.9280743, 0.91995335, 0.9035226, 0.89316404, 0.8624465, 0.849435, 0.8413352]"
77,iG8l,[3],"[3, 4, 10, 0, 68, 6, 28, 37, 9, 1]","[0.99887323, 0.9934535, 0.98516643, 0.95526636, 0.9473688, 0.9454842, 0.94341534, 0.9427117, 0.94154906, 0.91895396]"
78,BH8l,[ 88 364 388],"[2, 0, 12, 10, 50, 26, 11, 24, 3, 8]","[0.9975447, 0.9956551, 0.9934738, 0.9920356, 0.98691976, 0.9848132, 0.98383677, 0.9818673, 0.98152983, 0.98070866]"
79,JR8l,[269],"[1, 0, 63, 39, 11, 18, 9, 38, 36, 2]","[0.9970532, 0.9954653, 0.9595853, 0.9548093, 0.94078577, 0.9393394, 0.93850195, 0.93745613, 0.9192754, 0.91450095]"
80,Zl8l,[386],"[0, 1, 4, 2, 6, 36, 11, 49, 37, 12]","[0.99760956, 0.98858565, 0.9732853, 0.96401674, 0.9638688, 0.9609698, 0.9516252, 0.94848585, 0.94610196, 0.9385601]"
81,4t8l,[  0   1  36 142 367],"[1, 0, 36, 23, 24, 42, 5, 6, 124, 43]","[0.99999607, 0.99998665, 0.9998622, 0.9971995, 0.9963846, 0.99581915, 0.99062705, 0.98936737, 0.9888686, 0.98590827]"
82,bv8l,[150 204],"[0, 1, 13, 5, 8, 12, 3, 11, 45, 25]","[0.9984529, 0.9984061, 0.97155035, 0.96903855, 0.9653398, 0.9603451, 0.95136666, 0.94723713, 0.9468082, 0.9439554]"
83,v48l,[422 485],"[11, 29, 5, 32, 22, 2, 18, 56, 10, 50]","[0.9909153, 0.98956895, 0.9778465, 0.9760862, 0.9730164, 0.9724753, 0.9698181, 0.9686228, 0.96760154, 0.964993]"
84,Rt8l,[ 11  29  32 368],"[1, 0, 16, 11, 4, 9, 5, 36, 10, 8]","[0.99054503, 0.9904943, 0.97178763, 0.96795046, 0.9654449, 0.9637711, 0.9543659, 0.9416623, 0.9288662, 0.92394626]"
85,Ec8l,[  1  99 518],"[1, 0, 4, 3, 5, 33, 16, 8, 13, 14]","[0.9929719, 0.99042726, 0.9639728, 0.9544894, 0.9503302, 0.93298936, 0.93047833, 0.92950445, 0.9274347, 0.9237061]"
86,VX8l,[154 263],"[4, 10, 6, 3, 9, 2, 263, 154, 24, 0]","[0.9982401, 0.99803954, 0.9966159, 0.99652165, 0.99249625, 0.9920658, 0.99180067, 0.98960173, 0.9878447, 0.98577666]"
87,628l,[ 0 12],"[12, 0, 1, 5, 6, 2, 3, 4, 15, 9]","[0.99983925, 0.9993528, 0.9961294, 0.99494886, 0.993083, 0.9916806, 0.99112993, 0.9888744, 0.9839939, 0.982661]"
88,yf8l,[3 6],"[3, 6, 4, 0, 13, 1, 5, 8, 16, 12]","[0.9998062, 0.99888706, 0.9959947, 0.9904456, 0.9866822, 0.98372304, 0.97670233, 0.9601118, 0.95642453, 0.95547116]"
89,QH8l,[14],"[6, 0, 14, 2, 5, 61, 1, 12, 36, 11]","[0.99113244, 0.98955655, 0.98604655, 0.98248255, 0.98012865, 0.9788506, 0.9663422, 0.9651312, 0.9561381, 0.9552268]"
90,fk8l,[0],"[0, 3, 6, 1, 24, 12, 2, 4, 31, 10]","[0.99028206, 0.97325605, 0.9668276, 0.96283007, 0.957147, 0.9542991, 0.94798577, 0.90794486, 0.9074656, 0.9048106]"
91,fP8l,[8],"[6, 3, 8, 0, 2, 19, 4, 32, 7, 22]","[0.9997378, 0.9995934, 0.99948084, 0.99637556, 0.98994195, 0.98533374, 0.9823774, 0.9772558, 0.97248447, 0.9684434]"
92,xP8l,[100],"[0, 5, 2, 8, 7, 14, 30, 189, 12, 6]","[0.9930327, 0.9918663, 0.981707, 0.9816165, 0.9504463, 0.9417826, 0.9347534, 0.92425394, 0.91884625, 0.9181903]"
93,hj8l,[14],"[0, 1, 27, 5, 7, 12, 14, 8, 6, 11]","[0.99881953, 0.99376976, 0.97451293, 0.9716642, 0.96435845, 0.9597967, 0.9496512, 0.9442787, 0.94379306, 0.9317856]"
94,ek8l,[ 16 442],"[5, 0, 1, 8, 9, 2, 73, 23, 11, 24]","[0.9789373, 0.97550094, 0.9754987, 0.97432303, 0.9725652, 0.97058785, 0.9700625, 0.95578635, 0.955207, 0.94941026]"
95,2r8l,[6 8],"[3, 4, 6, 1, 8, 13, 82, 33, 7, 88]","[0.9998667, 0.999042, 0.9983747, 0.9973779, 0.99303806, 0.99125284, 0.9906634, 0.9865202, 0.98581207, 0.9825593]"
96,DP8l,[  2  44  46 107 109 114 138 145 602],"[0, 2, 1, 44, 3, 107, 6, 5, 4, 109]","[0.9999994, 0.999999, 0.99998206, 0.99996305, 0.9999032, 0.9998934, 0.9998176, 0.9998156, 0.99977136, 0.9997318]"
97,Th8l,[126 220 276],"[0, 12, 2, 1, 8, 15, 5, 6, 13, 49]","[0.9981359, 0.9969592, 0.99411374, 0.98966205, 0.9873779, 0.98578715, 0.98096204, 0.98039234, 0.97737956, 0.9766804]"
98,4C8l,[3 4 9],"[4, 3, 10, 9, 6, 1, 12, 36, 17, 7]","[0.99984074, 0.99980724, 0.996248, 0.98922896, 0.9875122, 0.96718395, 0.9570632, 0.9470055, 0.9467559, 0.94394207]"
99,vR8l,[539],"[0, 9, 8, 4, 1, 6, 10, 2, 12, 3]","[0.9994248, 0.9992994, 0.99906516, 0.99730873, 0.9971513, 0.9946138, 0.994256, 0.99408674, 0.9940783, 0.9928244]"
100,5H8l,[6 8],"[0, 14, 7, 8, 3, 1, 12, 11, 61, 13]","[0.9993043, 0.99457055, 0.98792076, 0.9830241, 0.98130643, 0.9785827, 0.9760872, 0.9592089, 0.95885485, 0.9575051]"
101,Fm8l,[  0   1 105 203],"[0, 2, 1, 3, 24, 7, 23, 12, 142, 73]","[0.99730074, 0.99143153, 0.9910072, 0.97798467, 0.9696677, 0.96761656, 0.9610969, 0.95820266, 0.9581063, 0.9527436]"
102,U58l,[3],"[6, 8, 3, 0, 1, 4, 13, 5, 31, 2]","[0.9998387, 0.9997143, 0.99957263, 0.9920397, 0.98265827, 0.9757608, 0.96848714, 0.96185267, 0.9546671, 0.95393765]"
103,dl8l,[  8 356],"[4, 13, 8, 9, 54, 16, 5, 0, 2, 3]","[0.9994654, 0.9994263, 0.99893546, 0.9986439, 0.99800575, 0.9965781, 0.9960313, 0.99498284, 0.9948008, 0.9945873]"
104,yV8l,[110],"[0, 3, 8, 6, 1, 2, 10, 9, 36, 16]","[0.99828154, 0.9981047, 0.99793303, 0.9954618, 0.9951706, 0.99485636, 0.9942687, 0.9883136, 0.9876325, 0.98295826]"
105,xX8l,[182 634],"[0, 17, 2, 1, 4, 9, 3, 11, 68, 55]","[0.9895553, 0.94283986, 0.9362136, 0.9314829, 0.92466474, 0.92311335, 0.92028475, 0.90896916, 0.8986802, 0.8856654]"
106,qR8l,[  0   1 105 535],"[1, 0, 27, 8, 3, 14, 15, 6, 36, 18]","[0.9999558, 0.99988973, 0.9993262, 0.99797976, 0.99748206, 0.99499536, 0.99457973, 0.9906936, 0.9905095, 0.989643]"
107,jU8l,[8],"[8, 6, 28, 0, 3, 1, 2, 27, 32, 61]","[0.9986291, 0.9963186, 0.9566446, 0.95303905, 0.95137966, 0.9422153, 0.9397315, 0.9288821, 0.9240216, 0.9043174]"
108,5T8l,[671],"[10, 3, 4, 9, 1, 31, 8, 13, 57, 54]","[0.99964607, 0.9994574, 0.99929154, 0.9989362, 0.9982085, 0.99734986, 0.9971198, 0.99684274, 0.99528325, 0.9946548]"
109,Dh8l,[3 6],"[3, 4, 6, 10, 8, 7, 38, 9, 28, 33]","[0.9992194, 0.99494565, 0.99300545, 0.9725589, 0.95663154, 0.91701627, 0.9154041, 0.9056569, 0.89977354, 0.8949679]"
110,d98l,[  8 110],"[0, 8, 68, 72, 2, 7, 12, 6, 3, 1]","[0.99945414, 0.99907327, 0.9981621, 0.9981186, 0.99735403, 0.9955346, 0.99320245, 0.99217594, 0.9914109, 0.98953474]"
111,lN8l,[3],"[3, 4, 6, 0, 13, 5, 9, 8, 10, 16]","[0.9994483, 0.99600506, 0.995497, 0.99243164, 0.9904382, 0.98724, 0.98584306, 0.97888106, 0.9779972, 0.9761581]"
112,ew8l,[  5  16 150 442],"[0, 5, 13, 16, 2, 1, 8, 14, 7, 4]","[0.999567, 0.9991623, 0.99862635, 0.998502, 0.9983676, 0.99693835, 0.99660456, 0.9953624, 0.9951744, 0.9951582]"
113,1S8l,[  0 874],"[0, 6, 12, 8, 3, 18, 7, 32, 28, 4]","[0.9997195, 0.9983417, 0.99658614, 0.9961234, 0.9924811, 0.9897911, 0.9893955, 0.9892923, 0.98790526, 0.9818217]"
114,tQ8l,[ 0  1 35],"[1, 0, 9, 3, 10, 37, 118, 2, 58, 19]","[0.994575, 0.9944391, 0.9863285, 0.98629653, 0.98070085, 0.970801, 0.96996075, 0.96341395, 0.9608979, 0.9410344]"
115,Jw8l,[  2 305],"[2, 0, 7, 1, 45, 5, 4, 56, 100, 46]","[0.999913, 0.9991679, 0.9990871, 0.9971734, 0.99600565, 0.9943881, 0.99298525, 0.99148, 0.98689514, 0.9864969]"
116,td8l,[ 41 386],"[41, 3, 13, 4, 10, 2, 14, 7, 26, 66]","[0.99999464, 0.99996406, 0.9999058, 0.999653, 0.99853724, 0.9970598, 0.9960025, 0.99533725, 0.99457014, 0.99314845]"
117,058l,[  0  12 312],"[0, 12, 3, 6, 33, 1, 5, 17, 19, 27]","[0.99959433, 0.9984182, 0.99672985, 0.99588096, 0.9949616, 0.99313295, 0.9930261, 0.985932, 0.98554003, 0.98535055]"
118,5e8l,[66],"[39, 0, 22, 12, 6, 15, 10, 4, 20, 3]","[0.9827561, 0.97046274, 0.96916467, 0.95590115, 0.94789314, 0.94560194, 0.9446417, 0.9442599, 0.94117916, 0.9388076]"
