,VideoId,True labels,Pred labels,Confidence
29,hb8l,[391],"[5, 9, 26, 172, 391, 282, 253, 10, 4, 34]","[0.9918788, 0.9892119, 0.9842768, 0.97304505, 0.9566989, 0.95643616, 0.949073, 0.94682735, 0.94242406, 0.94172335]"
30,u88l,[ 0 12],"[12, 0, 91, 79, 312, 110, 271, 118, 92, 70]","[0.99999577, 0.9999947, 0.99767077, 0.99592924, 0.98638177, 0.9756087, 0.9649777, 0.94555676, 0.94373155, 0.93956274]"
31,dD8l,[801],"[23, 126, 63, 78, 86, 37, 800, 356, 986, 24]","[0.9918584, 0.97832537, 0.96212244, 0.93375957, 0.93326485, 0.9330101, 0.931685, 0.9296737, 0.92926186, 0.9285197]"
32,AU8l,[ 3  4 14],"[3, 4, 10, 6, 9, 14, 13, 324, 28, 54]","[0.9999894, 0.9998481, 0.9988369, 0.9986278, 0.99554867, 0.9824698, 0.98182404, 0.9345476, 0.899215, 0.8951075]"
33,8a8l,[  0   1   5  81 108 615],"[1, 0, 108, 15, 5, 18, 81, 819, 872, 35]","[0.9959964, 0.9945984, 0.9662379, 0.96565115, 0.9637331, 0.9260956, 0.9164735, 0.8865856, 0.8750715, 0.86343527]"
34,ha8l,[100],"[106, 739, 28, 454, 246, 21, 4, 3, 496, 33]","[0.99648285, 0.9885928, 0.9868027, 0.9859686, 0.98246145, 0.9818583, 0.9817629, 0.98030186, 0.978902, 0.9760392]"
35,y68l,[12],"[12, 3, 175, 79, 201, 171, 0, 41, 726, 76]","[0.9996056, 0.9982499, 0.982601, 0.9804969, 0.97464097, 0.973767, 0.9712378, 0.96821046, 0.95978135, 0.9592842]"
36,yM8l,[453 857],"[5, 14, 11, 22, 29, 20, 836, 618, 32, 81]","[0.9827399, 0.97775286, 0.97438025, 0.9730332, 0.97249043, 0.95460427, 0.9276873, 0.9126593, 0.9014559, 0.878512]"
37,aZ8l,[ 3  4  9 10 34],"[3, 10, 9, 4, 6, 34, 13, 31, 54, 28]","[1.0, 1.0, 1.0, 1.0, 0.9999994, 0.9999534, 0.9998994, 0.9975158, 0.9961605, 0.9949329]"
38,Z88l,[ 5 16],"[5, 16, 27, 1, 708, 0, 630, 136, 194, 887]","[0.9984812, 0.989849, 0.9685734, 0.9434434, 0.92094517, 0.91301906, 0.90620553, 0.90606296, 0.897608, 0.89708894]"
39,Cp8l,[386],"[54, 13, 4, 3, 97, 243, 278, 254, 45, 47]","[0.99990195, 0.9993488, 0.99827886, 0.9977897, 0.9976046, 0.983192, 0.9781157, 0.97803926, 0.9697201, 0.96645]"
40,In8l,[ 24 146 158 279],"[23, 21, 24, 73, 26, 131, 74, 158, 279, 554]","[0.99999225, 0.99998605, 0.9999721, 0.9991476, 0.99771035, 0.99651885, 0.99585235, 0.99317527, 0.9903701, 0.98790765]"
41,ba8l,[0 8],"[8, 6, 52, 70, 558, 110, 98, 208, 350, 537]","[0.9999311, 0.9719348, 0.9706059, 0.9631165, 0.9619889, 0.9217551, 0.9145253, 0.9025763, 0.88717705, 0.8870189]"
42,I88l,[ 3 41],"[41, 3, 8, 4, 13, 54, 6, 40, 31, 157]","[0.9999913, 0.99962866, 0.9994595, 0.99941695, 0.9990095, 0.9976958, 0.99549603, 0.98921955, 0.9809263, 0.9630848]"
43,Mu8l,[ 39  50 493 503],"[39, 66, 50, 156, 202, 65, 503, 382, 390, 115]","[0.9999658, 0.9996632, 0.9978157, 0.9947115, 0.9944048, 0.9896479, 0.988083, 0.96984035, 0.9694332, 0.9640062]"
44,HC8l,[6 8],"[8, 6, 3, 13, 4, 41, 383, 141, 558, 465]","[0.9999724, 0.99938685, 0.99923766, 0.9958415, 0.99198174, 0.9830158, 0.94341564, 0.92330194, 0.9191148, 0.91439223]"
45,Qh8l,[ 5 16],"[16, 5, 133, 325, 140, 15, 49, 21, 630, 679]","[0.9991384, 0.9959476, 0.99364674, 0.9752986, 0.94836634, 0.9450898, 0.93637884, 0.9223858, 0.9145819, 0.9143302]"
46,Ys8l,[61],"[61, 3, 655, 6, 998, 652, 73, 269, 970, 1216]","[0.9998372, 0.98449755, 0.97088814, 0.9611428, 0.96057177, 0.9586244, 0.9369503, 0.92803013, 0.9204402, 0.92028505]"
47,198l,[  0   1  35  69 478],"[1, 0, 36, 27, 124, 287, 35, 42, 94, 85]","[0.99999404, 0.99997634, 0.9986992, 0.9861045, 0.9852698, 0.98272324, 0.9774679, 0.97428703, 0.97275174, 0.9591787]"
48,iG8l,[3],"[3, 4, 6, 28, 38, 33, 9, 72, 182, 190]","[0.999946, 0.9973197, 0.9831034, 0.97524774, 0.9659853, 0.9450601, 0.92771935, 0.90373874, 0.8937539, 0.888804]"
49,BH8l,[ 88 364 388],"[88, 721, 219, 73, 24, 23, 158, 304, 615, 194]","[0.95203376, 0.9358289, 0.93361664, 0.9312858, 0.9191443, 0.9166287, 0.9142208, 0.91179574, 0.905541, 0.9027481]"
50,JR8l,[269],"[1, 0, 39, 108, 63, 167, 81, 202, 50, 156]","[0.99316716, 0.9799674, 0.9791332, 0.9617584, 0.95543647, 0.9461144, 0.9452704, 0.93667185, 0.93581456, 0.91391397]"
51,4t8l,[  0   1  36 142 367],"[0, 36, 1, 142, 94, 132, 124, 403, 287, 185]","[1.0, 1.0, 1.0, 0.99999213, 0.9998826, 0.99944884, 0.99907136, 0.99872893, 0.99871445, 0.9985285]"
52,v48l,[422 485],"[20, 32, 80, 11, 50, 156, 29, 65, 22, 121]","[0.9805666, 0.9764519, 0.9744015, 0.97277594, 0.97254324, 0.9696437, 0.95370615, 0.95154583, 0.95114493, 0.9480871]"
53,Rt8l,[ 11  29  32 368],"[11, 29, 22, 32, 20, 5, 1, 426, 120, 467]","[0.9997288, 0.99937564, 0.9993427, 0.99930227, 0.998933, 0.989751, 0.9741664, 0.9702091, 0.9662366, 0.93957907]"
54,Ec8l,[  1  99 518],"[1, 0, 27, 42, 124, 93, 36, 372, 41, 650]","[0.99954164, 0.9980594, 0.97222245, 0.96186996, 0.92336214, 0.89896756, 0.8885469, 0.885809, 0.8846581, 0.8659041]"
55,VX8l,[154 263],"[154, 263, 61, 29, 1513, 778, 107, 642, 2, 40]","[0.99998945, 0.9999639, 0.9947575, 0.98480034, 0.9698305, 0.9669757, 0.9665122, 0.9664011, 0.96596104, 0.96175504]"
56,yf8l,[3 6],"[3, 6, 4, 13, 28, 38, 33, 41, 324, 10]","[1.0, 0.99999785, 0.99998116, 0.9996764, 0.9975395, 0.9913134, 0.9675026, 0.95688665, 0.95174897, 0.94436765]"
57,QH8l,[14],"[14, 663, 542, 61, 262, 71, 83, 541, 720, 191]","[0.9963819, 0.9795426, 0.9568999, 0.9568301, 0.93123543, 0.9236222, 0.91988134, 0.9166974, 0.909189, 0.9076569]"
58,fk8l,[0],"[3, 58, 133, 203, 89, 412, 310, 350, 10, 628]","[0.9522304, 0.93599963, 0.93424237, 0.8954034, 0.8931051, 0.85438013, 0.85247505, 0.8480984, 0.84522057, 0.8354968]"
59,fP8l,[8],"[8, 6, 698, 626, 100, 835, 518, 256, 356, 669]","[0.9997752, 0.9994382, 0.9987555, 0.97134364, 0.96704906, 0.96622986, 0.95521045, 0.9420744, 0.93648636, 0.93471533]"
60,xP8l,[100],"[5, 618, 152, 459, 84, 384, 242, 202, 299, 261]","[0.9867357, 0.9739952, 0.962548, 0.9596754, 0.93736744, 0.93555796, 0.9238167, 0.9120519, 0.9097985, 0.90796536]"
61,hj8l,[14],"[0, 1, 5, 14, 12, 132, 27, 134, 282, 7]","[0.99740064, 0.9871655, 0.9612465, 0.9169812, 0.91434383, 0.9097703, 0.9058973, 0.8799701, 0.8797692, 0.8762527]"
62,2r8l,[6 8],"[6, 8, 3, 350, 41, 103, 346, 206, 31, 82]","[0.99935806, 0.9977337, 0.99646294, 0.99414015, 0.9926399, 0.9909427, 0.98365915, 0.97670853, 0.97203064, 0.96923876]"
63,DP8l,[  2  44  46 107 109 114 138 145 602],"[114, 785, 46, 107, 109, 145, 138, 2, 44, 162]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.99999917]"
64,Th8l,[126 220 276],"[126, 220, 276, 60, 67, 291, 18, 15, 927, 20]","[0.99799263, 0.9968307, 0.99278283, 0.9877559, 0.980783, 0.9777198, 0.97632134, 0.97480434, 0.9626181, 0.9549184]"
65,4C8l,[3 4 9],"[3, 4, 9, 6, 10, 34, 13, 37, 31, 71]","[0.99999905, 0.9999987, 0.99972177, 0.9995973, 0.9995837, 0.9934072, 0.9813529, 0.9128554, 0.90840554, 0.8916493]"
66,vR8l,[539],"[33, 28, 38, 78, 539, 86, 67, 135, 749, 133]","[0.9892186, 0.9824147, 0.9822033, 0.98031926, 0.97531563, 0.9699837, 0.96422267, 0.96248686, 0.9590844, 0.9535841]"
67,Fm8l,[  0   1 105 203],"[0, 74, 273, 1, 24, 115, 685, 23, 21, 888]","[0.99603117, 0.9770501, 0.9767549, 0.97399366, 0.97328174, 0.95647264, 0.9546826, 0.9478595, 0.94759977, 0.9469849]"
68,U58l,[3],"[6, 3, 8, 558, 4, 1976, 415, 89, 1012, 1740]","[0.99999964, 0.9999917, 0.9998008, 0.93959403, 0.930636, 0.9046738, 0.8988042, 0.89099926, 0.88350767, 0.8756241]"
69,yV8l,[110],"[61, 3, 696, 79, 538, 811, 184, 33, 726, 201]","[0.97732115, 0.974329, 0.97001374, 0.9615239, 0.95551944, 0.94711566, 0.9428053, 0.92951214, 0.9196401, 0.91078764]"
70,xX8l,[182 634],"[118, 182, 72, 139, 319, 392, 12, 634, 53, 240]","[0.960283, 0.9369239, 0.92937595, 0.9197688, 0.91378653, 0.900362, 0.89682937, 0.8822367, 0.86694, 0.8620672]"
71,qR8l,[  0   1 105 535],"[0, 27, 106, 1, 496, 66, 50, 293, 200, 580]","[0.9966551, 0.9965752, 0.9907558, 0.9821969, 0.9705745, 0.97040653, 0.9659426, 0.95238036, 0.93784165, 0.9128096]"
72,jU8l,[8],"[8, 6, 558, 834, 38, 86, 89, 1186, 630, 698]","[0.99984276, 0.9968536, 0.9662991, 0.91083777, 0.90732473, 0.9052219, 0.8926154, 0.8925464, 0.88672996, 0.8748648]"
73,Dh8l,[3 6],"[6, 3, 4, 8, 28, 13, 10, 38, 33, 565]","[0.99999887, 0.99999225, 0.99786264, 0.9951463, 0.9841573, 0.97682446, 0.9728549, 0.9246369, 0.91433144, 0.86870843]"
74,d98l,[  8 110],"[98, 72, 68, 182, 240, 8, 208, 60, 151, 64]","[0.9989693, 0.9950594, 0.987821, 0.982899, 0.9725076, 0.9670901, 0.96694493, 0.96574795, 0.9572445, 0.9503577]"
75,lN8l,[3],"[3, 4, 6, 13, 28, 33, 38, 10, 37, 9]","[0.9999959, 0.9996946, 0.9989015, 0.9967842, 0.99084246, 0.98819125, 0.98451877, 0.9760934, 0.96931374, 0.95622456]"
76,ew8l,[  5  16 150 442],"[5, 16, 13, 51, 628, 44, 56, 136, 26, 195]","[0.9999757, 0.9999538, 0.98461914, 0.9843626, 0.98102224, 0.9766623, 0.9719107, 0.9701476, 0.967737, 0.9516846]"
77,1S8l,[  0 874],"[52, 70, 0, 226, 8, 110, 329, 369, 333, 79]","[0.9999286, 0.99989665, 0.99985933, 0.9969089, 0.99199337, 0.99080765, 0.98785686, 0.98755836, 0.98346555, 0.98260945]"
78,tQ8l,[ 0  1 35],"[0, 1, 35, 118, 134, 139, 323, 85, 19, 768]","[0.9998455, 0.9997658, 0.99880743, 0.976203, 0.9687026, 0.96404314, 0.9503387, 0.94719887, 0.9397212, 0.9278827]"
79,td8l,[ 41 386],"[41, 3, 13, 4, 54, 6, 10, 243, 33, 31]","[0.9999994, 0.999999, 0.99999774, 0.9999924, 0.99987864, 0.9991623, 0.9960694, 0.99570477, 0.9825095, 0.9802108]"
80,5e8l,[66],"[39, 66, 20, 202, 11, 32, 50, 22, 503, 29]","[0.9861163, 0.9781203, 0.9647718, 0.9554918, 0.95107204, 0.9453783, 0.93870556, 0.93389976, 0.9300991, 0.9285861]"
81,Ku8l,[  0   1 319],"[1, 5, 0, 69, 290, 42, 378, 431, 195, 16]","[0.99932194, 0.99930274, 0.9992059, 0.9837894, 0.9481734, 0.94038296, 0.93315166, 0.93071765, 0.91891515, 0.9123491]"
82,h48l,[760 788 948],"[218, 20, 353, 32, 51, 437, 47, 747, 97, 56]","[0.94131565, 0.9292242, 0.91797256, 0.91619265, 0.9138351, 0.91309476, 0.9095651, 0.90914553, 0.908198, 0.90158737]"
83,6n8l,[ 15  18  96 463],"[708, 18, 15, 463, 96, 661, 220, 424, 301, 26]","[0.9979881, 0.9949606, 0.9925883, 0.98353136, 0.9654813, 0.9653435, 0.9620122, 0.95964897, 0.95375097, 0.9532244]"
84,U08l,[3],"[3, 6, 4, 61, 89, 712, 690, 8, 28, 964]","[0.99999714, 0.9950993, 0.9942434, 0.97749496, 0.9706956, 0.96014726, 0.95214045, 0.9450716, 0.941838, 0.93959475]"
85,A98l,[14],"[14, 214, 578, 418, 837, 58, 725, 367, 259, 659]","[0.9999955, 0.9644623, 0.92361367, 0.92274994, 0.9009515, 0.89167917, 0.88967645, 0.85823953, 0.85674703, 0.853554]"
86,QJ8l,[12],"[12, 0, 660, 56, 7, 836, 297, 805, 828, 70]","[0.9998951, 0.9979503, 0.97193456, 0.9677644, 0.967177, 0.9531684, 0.95180154, 0.9487801, 0.9451334, 0.93907166]"
87,md8l,[ 3  4 10 13],"[4, 3, 13, 10, 6, 54, 188, 217, 97, 41]","[0.99999434, 0.99999386, 0.99995106, 0.9992405, 0.99766916, 0.9954192, 0.96281075, 0.95743835, 0.95618784, 0.94602406]"
88,aa8l,[347 871],"[2, 7, 44, 56, 60, 473, 474, 45, 46, 141]","[0.982028, 0.9446969, 0.9258479, 0.9178474, 0.9169338, 0.8977622, 0.8952479, 0.8945059, 0.8937694, 0.89205647]"
89,bw8l,[ 4  9 14],"[14, 117, 40, 31, 57, 5, 50, 152, 136, 39]","[0.9949598, 0.9688986, 0.9528862, 0.9217534, 0.9167144, 0.90501297, 0.90331775, 0.89848936, 0.8557293, 0.8332467]"
90,wu8l,[  2  17  30 143],"[30, 2, 55, 17, 340, 143, 427, 19, 232, 64]","[0.9999801, 0.99994874, 0.99991095, 0.99935436, 0.9991605, 0.9988785, 0.9972794, 0.99699277, 0.99498135, 0.993228]"
91,G68l,[ 0  1 35 85],"[0, 1, 35, 85, 2, 36, 46, 44, 48, 424]","[0.9998136, 0.99937356, 0.9940258, 0.9872092, 0.9794316, 0.95368177, 0.9341122, 0.92775804, 0.9166764, 0.90798914]"
92,Oh8l,[50],"[39, 66, 121, 202, 20, 207, 29, 156, 233, 50]","[0.99979174, 0.99716085, 0.99604523, 0.9917825, 0.9907379, 0.99015176, 0.9823097, 0.9812423, 0.97264546, 0.969439]"
93,jF8l,[4 9],"[4, 3, 9, 10, 34, 41, 136, 377, 5, 6]","[0.99249256, 0.98927665, 0.98321956, 0.9711205, 0.9706307, 0.95571625, 0.93673164, 0.89948076, 0.8833991, 0.8786154]"
94,5E8l,[  2  75 104 145],"[2, 8, 6, 7, 138, 104, 3, 305, 10, 17]","[0.99841964, 0.9961997, 0.97583055, 0.9729156, 0.96473956, 0.9617914, 0.9440349, 0.9324662, 0.9272572, 0.925671]"
95,Xr8l,[ 6 14],"[8, 14, 61, 451, 482, 46, 745, 52, 12, 913]","[0.9813883, 0.94170153, 0.9397767, 0.85572, 0.84739065, 0.84484655, 0.84211624, 0.83411634, 0.82332265, 0.8169255]"
96,2H8l,[714],"[43, 1, 0, 27, 18, 106, 60, 15, 652, 146]","[0.99293685, 0.9872128, 0.9823144, 0.97294664, 0.9696535, 0.96871173, 0.9577388, 0.9496081, 0.9479438, 0.9386977]"
97,BQ8l,[570],"[7, 2, 208, 11, 8, 14, 53, 991, 32, 222]","[0.9760374, 0.95870805, 0.9500859, 0.9497352, 0.94913805, 0.94597816, 0.94484806, 0.93575346, 0.91700983, 0.91641676]"
98,lL8l,[8],"[8, 201, 690, 210, 82, 560, 118, 309, 19, 254]","[0.99182355, 0.9738021, 0.9577825, 0.9498662, 0.94394296, 0.93854594, 0.93760836, 0.9369388, 0.93361735, 0.9211877]"
99,Fz8l,[  0   1 822],"[0, 1, 5, 69, 378, 35, 309, 929, 234, 395]","[0.99996436, 0.99996287, 0.99887794, 0.987304, 0.9755222, 0.97268707, 0.97131366, 0.9657266, 0.9524245, 0.93113506]"
100,ec8l,[ 3  4 28 33 38],"[4, 3, 9, 10, 13, 33, 38, 28, 6, 14]","[0.99999833, 0.9999956, 0.99990773, 0.9996914, 0.9995676, 0.99908644, 0.9990276, 0.9978888, 0.99487156, 0.99093103]"
101,lj8l,[ 15  18  26 170 326 466],"[39, 66, 466, 202, 156, 222, 26, 181, 207, 216]","[0.9902002, 0.9767488, 0.9742274, 0.96758044, 0.9630294, 0.9591354, 0.95792115, 0.9532771, 0.94980836, 0.9406122]"
102,rg8l,[ 66 148 382 648],"[188, 670, 44, 26, 2, 464, 54, 14, 52, 118]","[0.9452164, 0.94372606, 0.91857123, 0.91752726, 0.9131384, 0.91175735, 0.8944659, 0.8893721, 0.887271, 0.8814192]"
103,kI8l,[ 0 52 70],"[0, 1, 52, 70, 35, 42, 85, 125, 63, 111]","[0.9999914, 0.99966717, 0.9984909, 0.9972898, 0.98719203, 0.98369366, 0.97975874, 0.9788271, 0.97774047, 0.97388315]"
104,nQ8l,[ 21  23 592 879],"[31, 57, 40, 117, 47, 569, 66, 694, 127, 121]","[0.99982536, 0.999735, 0.9996099, 0.9989855, 0.99886954, 0.99049455, 0.98845404, 0.9840162, 0.9789609, 0.97870696]"
105,7m8l,[ 50 933],"[39, 50, 65, 66, 156, 293, 49, 202, 161, 850]","[0.99882126, 0.99691355, 0.9908557, 0.98913836, 0.9885689, 0.9861165, 0.98205686, 0.9512931, 0.9490767, 0.93561864]"
106,4o8l,[  0   1 139],"[0, 1, 5, 191, 83, 241, 670, 130, 35, 44]","[0.9951867, 0.98534465, 0.9637678, 0.90541136, 0.8925518, 0.88143253, 0.868569, 0.84467995, 0.8423009, 0.83412385]"
107,KN8l,[  0   1  42 290 586],"[0, 1, 42, 323, 223, 143, 343, 290, 451, 431]","[0.997682, 0.9945953, 0.94557154, 0.94098985, 0.912258, 0.9078245, 0.8877161, 0.88248193, 0.8774899, 0.87667644]"
108,gv8l,[  2   7  17  19 129],"[17, 2, 19, 129, 30, 394, 778, 7, 55, 48]","[0.9999908, 0.9999028, 0.99987775, 0.99951196, 0.98903674, 0.9885795, 0.981102, 0.9745297, 0.9658355, 0.9602548]"
109,qO8l,[9],"[37, 9, 10, 45, 38, 655, 36, 884, 78, 488]","[0.99935025, 0.99900055, 0.9962323, 0.9944774, 0.99395716, 0.9889317, 0.9776672, 0.9775364, 0.97146165, 0.96659017]"
110,o38l,[ 26 199 326 707],"[26, 21, 23, 85, 24, 33, 199, 250, 167, 189]","[0.99981344, 0.9989619, 0.9980489, 0.9933547, 0.9892565, 0.9889179, 0.98705375, 0.9866772, 0.98661053, 0.98509276]"
111,r78l,[  8 225],"[3, 6, 8, 12, 13, 558, 118, 201, 204, 186]","[0.99344456, 0.9877453, 0.9812694, 0.90229064, 0.88156354, 0.867827, 0.850895, 0.83612275, 0.83281964, 0.8251576]"
112,7q8l,[282],"[141, 54, 91, 130, 51, 282, 8, 26, 377, 270]","[0.9973714, 0.99647254, 0.98473674, 0.98126936, 0.9795903, 0.9788794, 0.9764304, 0.9697671, 0.96500516, 0.96357644]"
113,Ta8l,[884],"[20, 7, 88, 249, 15, 257, 153, 2, 815, 288]","[0.9026954, 0.8631587, 0.86077094, 0.8543019, 0.8417357, 0.84116405, 0.83564824, 0.8355001, 0.8285339, 0.82780635]"
114,w18l,[  2 940],"[30, 2, 55, 608, 280, 53, 340, 17, 22, 214]","[0.99999905, 0.99999, 0.99992186, 0.98981535, 0.96948195, 0.9455935, 0.9426604, 0.92775136, 0.9258274, 0.91241074]"
115,4w8l,[ 0 12],"[12, 14, 0, 79, 91, 152, 169, 312, 71, 618]","[0.9967245, 0.992169, 0.9771328, 0.9226358, 0.91989636, 0.914791, 0.8951639, 0.8834754, 0.8813852, 0.87645316]"
116,QE8l,[3],"[3, 4, 13, 6, 10, 41, 136, 54, 9, 203]","[0.9999962, 0.99951667, 0.9898668, 0.98284525, 0.9711747, 0.96066165, 0.9235494, 0.92346406, 0.91293436, 0.88622856]"
117,3b8l,[ 0 12],"[22, 12, 11, 0, 158, 20, 275, 697, 24, 23]","[0.9720557, 0.97020835, 0.9670572, 0.9537672, 0.94266105, 0.9402386, 0.93798983, 0.93722, 0.93387437, 0.93061316]"
118,O48l,[726],"[133, 325, 76, 502, 454, 315, 630, 175, 2, 442]","[0.98041105, 0.97571003, 0.9226463, 0.9172665, 0.9073148, 0.89562285, 0.8896129, 0.88832855, 0.88505375, 0.8814356]"
